RACE_ETH_bucket,AGE_bucket,SEX,us_born,EDUC,INCTOT_cpiu_2010_bucket,CPUMA0010,counterfactual,actual,diff
0,1,0,0,0,0,0,0.9469866488757239,0.8686117610193752,-0.07837488785634872
0,0,1,0,0,0,0,0.9835024571496227,0.86861176101938,-0.11489069613024272
0,0,0,1,0,0,0,0.9992907410694907,0.8686117610193755,-0.13067898005011513
0,0,0,0,1,0,0,0.9487406703085104,0.8686117610193755,-0.08012890928913485
0,0,0,0,0,1,0,0.976298318819195,0.8686117610193769,-0.10768655779981817
0,0,0,0,0,0,1,0.984086451898189,0.8686117610193754,-0.11547469087881357
1,0,0,0,0,0,0,1.043764922978684,0.8686117610193786,-0.17515316195930541
1,1,0,0,0,0,0,1.0038332751468892,0.86861176101937565,-0.1352215141275136
1,1,1,0,0,0,0,1.0040008100069429,0.8686117610193755,-0.13538904898756732
1,1,1,1,0,0,0,0.9927636791408434,0.86861176101937565,-0.12415191812146775
1,1,1,1,1,0,0,0.9698137434004704,0.8686117610193755,-0.1012019823810949
1,1,1,1,1,1,0,0.9724136181916865,0.8686117610193755,-0.10380185717231094
1,1,1,1,1,1,1,0.9433749888821956,0.8686117610193764,-0.07476322786281919
0,0,0,0,0,0,0,NA,0.8686117610193752,0
