RACE_ETH_bucket,AGE_bucket,SEX,us_born,EDUC,INCTOT_cpiu_2010_bucket,CPUMA0010,counterfactual,actual,diff
0,1,0,0,0,0,0,3.3297826250396176,3.374360312351518,0.04457768731190015
0,0,1,0,0,0,0,3.467111775093097,3.3743603123515173,-0.09275146274157953
0,0,0,1,0,0,0,3.489719149293153,3.3743603123515173,-0.11535883694163562
0,0,0,0,1,0,0,3.3712943275974063,3.3743603123515173,0.0030659847541110175
0,0,0,0,0,1,0,3.4398862447114285,3.374360312351518,-0.06552593235991067
0,0,0,0,0,0,1,3.4727317225604426,3.374360312351518,-0.09837141020892481
1,0,0,0,0,0,0,3.5758240138913715,3.374360312351517,-0.2014637015398546
1,1,0,0,0,0,0,3.42309892129207,3.374360312351518,-0.048738608940552375
1,1,1,0,0,0,0,3.423960022328412,3.374360312351518,-0.049599709976894335
1,1,1,1,0,0,0,3.4095200614320538,3.374360312351518,-0.035159749080535985
1,1,1,1,1,0,0,3.3631021962471537,3.374360312351518,0.011258116104364113
1,1,1,1,1,1,0,3.3675397200151758,3.374360312351518,0.006820592336342024
1,1,1,1,1,1,1,3.3556241110878835,3.374360312351522,0.018736201263638286
0,0,0,0,0,0,0,NA,3.374360312351518,0
